CID,Type,Impact,Status,First Detected,Owner,Classification,Severity,Action,Component,Category,File,Function,Count
11421,Use of hard-coded password,Medium,New,09/09/21,Unassigned,Unclassified,Unspecified,Undecided,Other,Medium impact security,/src/main/java/com/sebas/checkplace/restfulwebservices/BCryptEncoderTest.java,BCryptEncoderTest.main,1
11420,Bx: Questionable Boxing of primitive value,Low,New,09/09/21,Unassigned,Unclassified,Unspecified,Undecided,Other,SpotBugs: Performance,/src/main/java/com/sebas/services/chess/engine/Pawn.java,Pawn.move,1
11419,Bx: Questionable Boxing of primitive value,Low,New,09/09/21,Unassigned,Unclassified,Unspecified,Undecided,Other,SpotBugs: Performance,/src/main/java/com/sebas/services/chess/engine/King.java,King.move,1
11418,Se: Incorrect definition of Serializable class,Low,New,09/09/21,Unassigned,Unclassified,Unspecified,Undecided,Other,SpotBugs: Bad practice,/src/main/java/com/sebas/checkplace/restfulwebservices/jwt/JwtTokenUtil.java,,1
11417,Cross-site request forgery,High,New,09/09/21,Unassigned,Unclassified,Unspecified,Undecided,Other,High impact security,/src/main/java/com/sebas/checkplace/restfulwebservices/PlayerJpaController.java,PlayerJpaController.addPlayer,1
11416,Cross-site request forgery,High,New,09/09/21,Unassigned,Unclassified,Unspecified,Undecided,Other,High impact security,/src/main/java/com/sebas/checkplace/restfulwebservices/PlayerJpaController.java,PlayerJpaController.updatePlayer,1
11415,Bx: Questionable Boxing of primitive value,Low,New,09/09/21,Unassigned,Unclassified,Unspecified,Undecided,Other,SpotBugs: Performance,/src/main/java/com/sebas/services/chess/engine/Knight.java,Knight.move,1
11414,Dm: Dubious method used,Low,New,09/09/21,Unassigned,Unclassified,Unspecified,Undecided,Other,SpotBugs: Bad practice,/src/main/java/com/sebas/services/chess/engine/Match.java,Match.startGame,1
11413,Disabled Spring Security CSRF protection,Medium,New,09/09/21,Unassigned,Unclassified,Unspecified,Undecided,Other,Medium impact security,/src/main/java/com/sebas/checkplace/basic/auth/SpringSecurityConfiguration.java,SpringSecurityConfiguration.configure,1
11412,Information exposure to log file,Low,New,09/09/21,Unassigned,Unclassified,Unspecified,Undecided,Other,Low impact security,/src/main/java/com/sebas/checkplace/restfulwebservices/BCryptEncoderTest.java,BCryptEncoderTest.main,1
11411,DLS: Dead local store,Low,New,09/09/21,Unassigned,Unclassified,Unspecified,Undecided,Other,SpotBugs: Dodgy code,/src/main/java/com/sebas/checkplace/restfulwebservices/jwt/resource/JwtAuthenticationRestController.java,JwtAuthenticationRestController.refreshAndGetAuthenticationToken,1
11410,Cross-site scripting,High,New,09/09/21,Unassigned,Unclassified,Unspecified,Undecided,Other,High impact security,/src/main/java/com/sebas/checkplace/restfulwebservices/jwt/resource/JwtAuthenticationRestController.java,JwtAuthenticationRestController.handleAuthenticationException,1
11409,Bx: Questionable Boxing of primitive value,Low,New,09/09/21,Unassigned,Unclassified,Unspecified,Undecided,Other,SpotBugs: Performance,/src/main/java/com/sebas/services/chess/engine/Tower.java,Tower.move,1
11408,Dereference null return value,Medium,New,09/09/21,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/src/main/java/com/sebas/services/chess/engine/Movement.java,Movement.makeMovement,1
11407,Explicit null dereferenced,Medium,New,09/09/21,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/src/main/java/com/sebas/services/chess/engine/Board.java,Board.createSquare,1
11406,Cross-site request forgery,High,New,09/09/21,Unassigned,Unclassified,Unspecified,Undecided,Other,High impact security,/src/main/java/com/sebas/checkplace/restfulwebservices/PlayerJpaController.java,PlayerJpaController.deletePlayer,1
11405,Disabled Spring Security CSRF protection,Medium,New,09/09/21,Unassigned,Unclassified,Unspecified,Undecided,Other,Medium impact security,/src/main/java/com/sebas/checkplace/restfulwebservices/jwt/JWTWebSecurityConfig.java,JWTWebSecurityConfig.configure,1
