CID,Type,Impact,Status,First Detected,Owner,Classification,Severity,Action,Component,Category,File,Function,Count
10857,Dynamic data in HTML comment,Low,New,01/28/21,Unassigned,Unclassified,Unspecified,Undecided,Other,Low impact security,/target/chess-1.2/html/game.jsp,,2
10856,Cross-site scripting,High,New,01/28/21,Unassigned,Unclassified,Unspecified,Undecided,Other,High impact security,/target/chess-1.2/html/game.jsp,,2
10855,Cross-site scripting,High,New,01/28/21,Unassigned,Unclassified,Unspecified,Undecided,Other,High impact security,/target/chess-1.2/html/game.jsp,,2
10854,Missing global exception handler,Low,New,01/28/21,Unassigned,Unclassified,Unspecified,Undecided,Other,Low impact security,/src/main/webapp/WEB-INF/web.xml,,1
10853,Cross-site scripting,High,New,01/28/21,Unassigned,Unclassified,Unspecified,Undecided,Other,High impact security,/target/chess-1.2/html/game.jsp,,2
10852,Cross-site scripting,High,New,01/28/21,Unassigned,Unclassified,Unspecified,Undecided,Other,High impact security,/target/chess-1.2/html/game.jsp,,2
10849,Cross-site scripting,High,New,01/22/21,Unassigned,Unclassified,Unspecified,Undecided,Other,High impact security,/src/main/java/core/sebas/servlets/MatchServlet.java,MatchServlet.paintMatch,1
10844,Cross-site scripting,High,New,01/22/21,Unassigned,Unclassified,Unspecified,Undecided,Other,High impact security,/src/main/java/core/sebas/servlets/MatchServlet.java,MatchServlet.paintMatch,2
10843,Cross-site scripting,High,New,01/22/21,Unassigned,Unclassified,Unspecified,Undecided,Other,High impact security,/src/main/java/core/sebas/servlets/MatchServlet.java,MatchServlet.paintMatch,1
10841,J2EE: J2EE error,Low,New,01/22/21,Unassigned,Unclassified,Unspecified,Undecided,Other,SpotBugs: Bad practice,/src/main/java/core/sebas/servlets/MatchServlet.java,MatchServlet.doGet,1
10839,Cross-site scripting,High,New,01/22/21,Unassigned,Unclassified,Unspecified,Undecided,Other,High impact security,/src/main/java/core/sebas/servlets/SaveGame.java,SaveGame.doPost,1
10838,DMI: Dubious method invocation,Low,New,01/22/21,Unassigned,Unclassified,Unspecified,Undecided,Other,SpotBugs: Dodgy code,/src/main/java/core/sebas/servlets/SaveGame.java,SaveGame.doPost,1
10834,"Filesystem path, filename, or URI manipulation",High,New,01/22/21,Unassigned,Unclassified,Unspecified,Undecided,Other,High impact security,/src/main/java/core/sebas/servlets/SaveGame.java,SaveGame.doPost,1
10711,"Filesystem path, filename, or URI manipulation",High,New,09/25/20,Unassigned,Unclassified,Unspecified,Undecided,Other,High impact security,/src/main/java/core/sebas/servlets/LoadGame.java,LoadGame.doPost,1
10710,Cross-site scripting,High,New,09/25/20,Unassigned,Unclassified,Unspecified,Undecided,Other,High impact security,/src/main/java/core/sebas/servlets/Serialization.java,Serialization.doPost,1
10709,Unsafe deserialization,High,New,09/25/20,Unassigned,Unclassified,Unspecified,Undecided,Other,High impact security,/src/main/java/core/sebas/Serial.java,Serial.fromBase64,1
10706,SQL injection,High,New,09/25/20,Unassigned,Unclassified,Unspecified,Undecided,Other,High impact security,/src/main/java/core/sebas/servlets/Authentication.java,Authentication.doPost,1
10705,SQL injection,High,New,09/25/20,Unassigned,Unclassified,Unspecified,Undecided,Other,High impact security,/src/main/java/core/sebas/servlets/Authentication.java,Authentication.doPost,1
10687,Explicit null dereferenced,Medium,New,09/23/20,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/src/main/java/com/sebas/core/Board.java,Board.createSquare,1
10686,Dereference null return value,Medium,New,09/23/20,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/src/main/java/core/sebas/servlets/FirstAuthentication.java,FirstAuthentication.doPost,1
10681,Resource leak,High,New,09/23/20,Unassigned,Unclassified,Unspecified,Undecided,Other,Resource leaks,/src/main/java/core/sebas/servlets/FirstAuthentication.java,FirstAuthentication.doPost,1
10678,Explicit null dereferenced,Medium,New,09/23/20,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/src/main/java/core/sebas/servlets/FirstAuthentication.java,FirstAuthentication.doPost,1
10677,Dm: Dubious method used,Low,New,09/23/20,Unassigned,Unclassified,Unspecified,Undecided,Other,SpotBugs: Internationalization,/src/main/java/core/sebas/servlets/Serialization.java,Serialization.doPost,1
10675,Value not atomically updated,Medium,New,09/23/20,Unassigned,Unclassified,Unspecified,Undecided,Other,Concurrent data access violations,/src/main/java/core/sebas/servlets/LoadGame.java,LoadGame.doPost,1
10673,Bx: Questionable Boxing of primitive value,Low,New,09/23/20,Unassigned,Unclassified,Unspecified,Undecided,Other,SpotBugs: Performance,/src/main/java/com/sebas/core/King.java,King.move,1
10671,Dereference null return value,Medium,New,09/23/20,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/src/main/java/core/sebas/servlets/Authentication.java,Authentication.doPost,1
10670,Resource leak on an exceptional path,Low,New,09/23/20,Unassigned,Unclassified,Unspecified,Undecided,Other,Exceptional resource leaks,/src/main/java/core/sebas/servlets/Authentication.java,Authentication.doPost,1
10662,Dereference null return value,Medium,New,09/23/20,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/src/main/java/com/sebas/core/Movement.java,Movement.makeMovement,1
10661,SBSC: String concatenation in loop using + operator,Low,New,09/23/20,Unassigned,Unclassified,Unspecified,Undecided,Other,SpotBugs: Performance,/src/main/java/com/sebas/core/Match.java,Match.startGame,1
