Rule code,Rule,Priority,CWE,Software characteristic,Vulnerability type,Language,Effort,File,Line number,Line text,Source file,Source line number,Source line text,Muted,Normative,Status,CWE Scope,Framework
OPT.JAVASCRIPT.ERRORCOMUN.NoUpdateLoopVarsInForBody,Do not update control vars in 'for' loop body,Very High,,Maintainability,Control flow management,Javascript / Typescript,30m,src/main/webapp/js/jquery.min.js,2,"!function(a,b){""use strict"";""object""==typeof module&&""object""==typeof module.exports?module.exports=a.document?b(a,!0):function(a){if(!a.document)throw new Error(""jQuery requires a window with a document"");return b(a)}:b(a)}(""undefined""!=typeof window?window:this,function(a,b){""use strict"";var c=[],d=a.document,e=Object.getPrototypeOf,f=c.slice,g=c.concat,h=c.push,i=c.indexOf,j={},k=j.toString,l=j.hasOwnProperty,m=l.toString,n=m.call(Object),o={};function p(a,b){b=b||d;var c=b.createElement(""script"");c.text=a,b.head.appendChild(c).parentNode.removeChild(c)}var q=""3.1.1"",r=function(a,b){return new r.fn.init(a,b)},s=/^[\s\uFEFF\xA0]+|[\s\uFEFF\xA0]+$/g,t=/^-ms-/,u=/-([a-z])/g,v=function(a,b){return b.toUpperCase()};r.fn=r.prototype={jquery:q,constructor:r,length:0,toArray:function(){return f.call(this)},get:function(a){return null==a?f.call(this):a<0?this[a+this.length]:this[a]},pushStack:function(a){var b=r.merge(this.constructor(),a);return b.prevObject=this,b},each:function(a){return r.each(this,a)},map:func",,,,No,Agile Alliance:Clear-INVL,none,,
OPT.JAVASCRIPT.ERRORCOMUN.NoUpdateLoopVarsInForBody,Do not update control vars in 'for' loop body,Very High,,Maintainability,Control flow management,Javascript / Typescript,30m,src/main/webapp/js/jquery.min.js,3,"a.removeEventListener(""load"",R),r.ready()}""complete""===d.readyState||""loading""!==d.readyState&&!d.documentElement.doScroll?a.setTimeout(r.ready):(d.addEventListener(""DOMContentLoaded"",R),a.addEventListener(""load"",R));var S=function(a,b,c,d,e,f,g){var h=0,i=a.length,j=null==c;if(""object""===r.type(c)){e=!0;for(h in c)S(a,b,h,c[h],!0,f,g)}else if(void 0!==d&&(e=!0,r.isFunction(d)||(g=!0),j&&(g?(b.call(a,d),b=null):(j=b,b=function(a,b,c){return j.call(r(a),c)})),b))for(;h<i;h++)b(a[h],c,g?d:d.call(a[h],h,b(a[h],c)));return e?a:j?b.call(a):i?b(a[0],c):f},T=function(a){return 1===a.nodeType||9===a.nodeType||!+a.nodeType};function U(){this.expando=r.expando+U.uid++}U.uid=1,U.prototype={cache:function(a){var b=a[this.expando];return b||(b={},T(a)&&(a.nodeType?a[this.expando]=b:Object.defineProperty(a,this.expando,{value:b,configurable:!0}))),b},set:function(a,b,c){var d,e=this.cache(a);if(""string""==typeof b)e[r.camelCase(b)]=c;else for(d in b)e[r.camelCase(d)]=b[d];return e},get:function(a,b){return void 0===b?this.c",,,,No,Agile Alliance:Clear-INVL,none,,
OPT.JAVA.SEC_JAVA.SqlInjectionRule,Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),Very High,89,Security,Injection,Java,30m,src/main/java/com/waratek/spiracle/sql/util/SelectUtil.java,67,			stmt = con.prepareStatement(sql);,src/main/java/com/waratek/spiracle/sql/servlet/util/ParameterNullFix.java,32,			String val = request.getParameter(item);,No,"CERT-J:IDS00-J,CWE:564,CWE:89,CWETOP25:2019:6,OWASP:2013:A1,OWASP:2017:A1,PCI-DSS:6.5.1,SANS25:2010:2,SANS25:2011:1,WASC:19",none,"CWEScope:Access-Control,CWEScope:Confidentiality,CWEScope:Integrity",
OPT.JAVA.SEC_JAVA.SqlInjectionRule,Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),Very High,89,Security,Injection,Java,30m,src/main/java/com/waratek/spiracle/sql/util/SelectUtil.java,67,			stmt = con.prepareStatement(sql);,src/main/java/com/waratek/spiracle/sql/servlet/util/ParameterNullFix.java,32,			String val = request.getParameter(item);,No,"CERT-J:IDS00-J,CWE:564,CWE:89,CWETOP25:2019:6,OWASP:2013:A1,OWASP:2017:A1,PCI-DSS:6.5.1,SANS25:2010:2,SANS25:2011:1,WASC:19",none,"CWEScope:Access-Control,CWEScope:Confidentiality,CWEScope:Integrity",
OPT.JAVA.SEC_JAVA.SqlInjectionRule,Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),Very High,89,Security,Injection,Java,30m,src/main/java/com/waratek/spiracle/sql/util/SelectUtil.java,67,			stmt = con.prepareStatement(sql);,src/main/java/com/waratek/spiracle/sql/servlet/util/ParameterNullFix.java,32,			String val = request.getParameter(item);,No,"CERT-J:IDS00-J,CWE:564,CWE:89,CWETOP25:2019:6,OWASP:2013:A1,OWASP:2017:A1,PCI-DSS:6.5.1,SANS25:2010:2,SANS25:2011:1,WASC:19",none,"CWEScope:Access-Control,CWEScope:Confidentiality,CWEScope:Integrity",
OPT.JAVA.SEC_JAVA.SqlInjectionRule,Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),Very High,89,Security,Injection,Java,30m,src/main/java/com/waratek/spiracle/sql/util/SelectUtil.java,67,			stmt = con.prepareStatement(sql);,src/main/java/com/waratek/spiracle/sql/servlet/util/ParameterNullFix.java,32,			String val = request.getParameter(item);,No,"CERT-J:IDS00-J,CWE:564,CWE:89,CWETOP25:2019:6,OWASP:2013:A1,OWASP:2017:A1,PCI-DSS:6.5.1,SANS25:2010:2,SANS25:2011:1,WASC:19",none,"CWEScope:Access-Control,CWEScope:Confidentiality,CWEScope:Integrity",
OPT.JAVA.SEC_JAVA.SqlInjectionRule,Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),Very High,89,Security,Injection,Java,30m,src/main/java/com/waratek/spiracle/sql/util/SelectUtil.java,67,			stmt = con.prepareStatement(sql);,src/main/java/com/waratek/spiracle/sql/servlet/util/ParameterNullFix.java,32,			String val = request.getParameter(item);,No,"CERT-J:IDS00-J,CWE:564,CWE:89,CWETOP25:2019:6,OWASP:2013:A1,OWASP:2017:A1,PCI-DSS:6.5.1,SANS25:2010:2,SANS25:2011:1,WASC:19",none,"CWEScope:Access-Control,CWEScope:Confidentiality,CWEScope:Integrity",
OPT.JAVA.SEC_JAVA.SqlInjectionRule,Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),Very High,89,Security,Injection,Java,30m,src/main/java/com/waratek/spiracle/sql/util/SelectUtil.java,67,			stmt = con.prepareStatement(sql);,src/main/java/com/waratek/spiracle/sql/servlet/util/ParameterNullFix.java,32,			String val = request.getParameter(item);,No,"CERT-J:IDS00-J,CWE:564,CWE:89,CWETOP25:2019:6,OWASP:2013:A1,OWASP:2017:A1,PCI-DSS:6.5.1,SANS25:2010:2,SANS25:2011:1,WASC:19",none,"CWEScope:Access-Control,CWEScope:Confidentiality,CWEScope:Integrity",
OPT.JAVA.SEC_JAVA.SqlInjectionRule,Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),Very High,89,Security,Injection,Java,30m,src/main/java/com/waratek/spiracle/sql/util/SelectUtil.java,67,			stmt = con.prepareStatement(sql);,src/main/java/com/waratek/spiracle/sql/servlet/util/ParameterNullFix.java,32,			String val = request.getParameter(item);,No,"CERT-J:IDS00-J,CWE:564,CWE:89,CWETOP25:2019:6,OWASP:2013:A1,OWASP:2017:A1,PCI-DSS:6.5.1,SANS25:2010:2,SANS25:2011:1,WASC:19",none,"CWEScope:Access-Control,CWEScope:Confidentiality,CWEScope:Integrity",
OPT.JAVA.SEC_JAVA.SqlInjectionRule,Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),Very High,89,Security,Injection,Java,30m,src/main/java/com/waratek/spiracle/sql/util/SelectUtil.java,67,			stmt = con.prepareStatement(sql);,src/main/java/com/waratek/spiracle/sql/servlet/util/ParameterNullFix.java,32,			String val = request.getParameter(item);,No,"CERT-J:IDS00-J,CWE:564,CWE:89,CWETOP25:2019:6,OWASP:2013:A1,OWASP:2017:A1,PCI-DSS:6.5.1,SANS25:2010:2,SANS25:2011:1,WASC:19",none,"CWEScope:Access-Control,CWEScope:Confidentiality,CWEScope:Integrity",
