Rule code,Rule,Priority,CWE,Software characteristic,Vulnerability type,Language,Effort,File,Line number,Line text,Source file,Source line number,Source line text,Muted,Normative,Status,CWE Scope,Framework
OPT.PYTHON.SECURITY.StoredCrossSiteScripting,Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),Very High,79,Security,Injection,Python,30m,app/views/admin/views.py,80,"render(request, 'admin/table.html',
                  {'users': users, 'users2': users2})",app/views/admin/views.py,77,users = User.objects.all(),No,"CWE:79,CWETOP25:2019:2,OWASP:2013:A3,OWASP:2017:A7,PCI-DSS:6.5.1,WASC:24",none,"CWEScope:Access-Control,CWEScope:Availability,CWEScope:Confidentiality,CWEScope:Integrity",
OPT.PYTHON.SECURITY.StoredCrossSiteScripting,Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),Very High,79,Security,Injection,Python,30m,app/views/users/pay/views.py,61,"render(request, 'users/pay/index.html',
                      {'current_user': user,
                       'direct_deposits': direct_deposits})",app/views/users/pay/views.py,60,direct_deposits = Pay.objects.filter(user=user),No,"CWE:79,CWETOP25:2019:2,OWASP:2013:A3,OWASP:2017:A7,PCI-DSS:6.5.1,WASC:24",none,"CWEScope:Access-Control,CWEScope:Availability,CWEScope:Confidentiality,CWEScope:Integrity",
OPT.PYTHON.SECURITY.SqlInjection,Avoid SQL code formed with non neutralized user input (vulnerable to SQL Injection attacks),Very High,89,Security,Injection,Python,30m,app/models/Analytics/analytics.py,60,cursor.execute(cmd),app/views/admin/views.py,98,"Analytics.hits_by_ip(request.GET['ip'], col=col)",No,"CWE:89,CWETOP25:2019:6,OWASP:2013:A1,OWASP:2017:A1,OWASP-M:2014:M7,PCI-DSS:6.5.1,SANS25:2011:1,WASC:19",none,"CWEScope:Access-Control,CWEScope:Confidentiality,CWEScope:Integrity",
OPT.PYTHON.SECURITY.CrossSiteScripting,Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),Very High,79,Security,Injection,Python,30m,app/views/admin/views.py,16,"render(request, 'admin/dashboard.html', {'current_user': current_user})",app/views/utils.py,4,"def current_user(request):
    return User.authenticate_by_token(request.COOKIES['auth_token'])",No,"CWE:79,CWETOP25:2019:2,OWASP:2013:A3,OWASP:2017:A3,PCI-DSS:6.5.1,WASC:24",none,"CWEScope:Access-Control,CWEScope:Availability,CWEScope:Confidentiality,CWEScope:Integrity",
OPT.PYTHON.SECURITY.CrossSiteScripting,Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),Very High,79,Security,Injection,Python,30m,app/views/admin/views.py,104,"render(request, 'admin/analytics.html',
                  {'current_user': current_user,
                   'cols': cols,
                   'values': values,
                   'num_data': num_data})",app/views/utils.py,4,"def current_user(request):
    return User.authenticate_by_token(request.COOKIES['auth_token'])",No,"CWE:79,CWETOP25:2019:2,OWASP:2013:A3,OWASP:2017:A3,PCI-DSS:6.5.1,WASC:24",none,"CWEScope:Access-Control,CWEScope:Availability,CWEScope:Confidentiality,CWEScope:Integrity",
OPT.PYTHON.SECURITY.CrossSiteScripting,Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),Very High,79,Security,Injection,Python,30m,app/views/api/users/views.py,23,"HttpResponse(data, content_type='application/json')",app/views/api/users/views.py,15,token = urlparse.unquote(request.META['HTTP_AUTHORIZATION']),No,"CWE:79,CWETOP25:2019:2,OWASP:2013:A3,OWASP:2017:A3,PCI-DSS:6.5.1,WASC:24",none,"CWEScope:Access-Control,CWEScope:Availability,CWEScope:Confidentiality,CWEScope:Integrity",
OPT.PYTHON.SECURITY.CrossSiteScripting,Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),Very High,79,Security,Injection,Python,30m,app/views/api/users/views.py,36,"HttpResponse(data, content_type='application/json')",app/views/api/users/views.py,33,token = urlparse.unquote(request.META['HTTP_AUTHORIZATION']),No,"CWE:79,CWETOP25:2019:2,OWASP:2013:A3,OWASP:2017:A3,PCI-DSS:6.5.1,WASC:24",none,"CWEScope:Access-Control,CWEScope:Availability,CWEScope:Confidentiality,CWEScope:Integrity",
OPT.PYTHON.SECURITY.CrossSiteScripting,Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),Very High,79,Security,Injection,Python,30m,app/views/dashboard/views.py,31,"render(request, 'dashboard/home.html', context=context)",app/views/utils.py,4,"def current_user(request):
    return User.authenticate_by_token(request.COOKIES['auth_token'])",No,"CWE:79,CWETOP25:2019:2,OWASP:2013:A3,OWASP:2017:A3,PCI-DSS:6.5.1,WASC:24",none,"CWEScope:Access-Control,CWEScope:Availability,CWEScope:Confidentiality,CWEScope:Integrity",
OPT.PYTHON.SECURITY.CrossSiteScripting,Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),Very High,79,Security,Injection,Python,30m,app/views/users/benefit_forms/views.py,18,"render(request, 'users/benefit_forms.html',
                  context={'current_user': user})",app/views/utils.py,4,"def current_user(request):
    return User.authenticate_by_token(request.COOKIES['auth_token'])",No,"CWE:79,CWETOP25:2019:2,OWASP:2013:A3,OWASP:2017:A3,PCI-DSS:6.5.1,WASC:24",none,"CWEScope:Access-Control,CWEScope:Availability,CWEScope:Confidentiality,CWEScope:Integrity",
OPT.PYTHON.SECURITY.CrossSiteScripting,Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),Very High,79,Security,Injection,Python,30m,app/views/users/messages/views.py,20,"render(request, ""users/messages/index.html"", {
            'current_user': current_user,
            'available_recipients': User.objects.all()
        })",app/views/utils.py,4,"def current_user(request):
    return User.authenticate_by_token(request.COOKIES['auth_token'])",No,"CWE:79,CWETOP25:2019:2,OWASP:2013:A3,OWASP:2017:A3,PCI-DSS:6.5.1,WASC:24",none,"CWEScope:Access-Control,CWEScope:Availability,CWEScope:Confidentiality,CWEScope:Integrity",
