Query,QueryPath,Custom,PCI DSS v3.2.1,OWASP Top 10 2013,FISMA 2014,NIST SP 800-53,OWASP Top 10 2017,OWASP Mobile Top 10 2016,OWASP Top 10 API,SrcFileName,Line,Column,NodeId,Name,DestFileName,DestLine,DestColumn,DestNodeId,DestName,Result State,Result Severity,Assigned To,Comment,Link,Result Status
Reflected XSS All Clients,Java\Cx\Java High Risk\Reflected XSS All Clients Version:3,,PCI DSS (3.2.1) - 6.5.7 - Cross-site scripting (XSS),A3-Cross-Site Scripting (XSS),System And Information Integrity,SI-15 Information Output Filtering (P0),A7-Cross-Site Scripting (XSS),,,spiracle-master/src/main/webapp/cookie.jsp,44,409,1,"""""cookieName""""",spiracle-master/src/main/webapp/cookie.jsp,44,408,2,getParameter,Fixed,High,,,https://checkmarx.dash4ast.com/CxWebClient/ViewerMain.aspx?scanid=1073997&projectid=1359&pathid=5,New
Reflected XSS All Clients,Java\Cx\Java High Risk\Reflected XSS All Clients Version:3,,PCI DSS (3.2.1) - 6.5.7 - Cross-site scripting (XSS),A3-Cross-Site Scripting (XSS),System And Information Integrity,SI-15 Information Output Filtering (P0),A7-Cross-Site Scripting (XSS),,,spiracle-master/src/main/webapp/cookie.jsp,48,409,1,"""""cookiePath""""",spiracle-master/src/main/webapp/cookie.jsp,48,408,2,getParameter,To Verify,High,,,https://checkmarx.dash4ast.com/CxWebClient/ViewerMain.aspx?scanid=1073997&projectid=1359&pathid=6,New
Reflected XSS All Clients,Java\Cx\Java High Risk\Reflected XSS All Clients Version:3,,PCI DSS (3.2.1) - 6.5.7 - Cross-site scripting (XSS),A3-Cross-Site Scripting (XSS),System And Information Integrity,SI-15 Information Output Filtering (P0),A7-Cross-Site Scripting (XSS),,,spiracle-master/src/main/webapp/cookie.jsp,46,410,1,"""""cookieValue""""",spiracle-master/src/main/webapp/cookie.jsp,46,409,2,getParameter,To Verify,High,,,https://checkmarx.dash4ast.com/CxWebClient/ViewerMain.aspx?scanid=1073997&projectid=1359&pathid=7,New
Reflected XSS All Clients,Java\Cx\Java High Risk\Reflected XSS All Clients Version:3,,PCI DSS (3.2.1) - 6.5.7 - Cross-site scripting (XSS),A3-Cross-Site Scripting (XSS),System And Information Integrity,SI-15 Information Output Filtering (P0),A7-Cross-Site Scripting (XSS),,,spiracle-master/src/main/webapp/cookie.jsp,50,411,1,"""""secure""""",spiracle-master/src/main/webapp/cookie.jsp,50,410,2,getParameter,To Verify,High,,,https://checkmarx.dash4ast.com/CxWebClient/ViewerMain.aspx?scanid=1073997&projectid=1359&pathid=8,New
Reflected XSS All Clients,Java\Cx\Java High Risk\Reflected XSS All Clients Version:3,,PCI DSS (3.2.1) - 6.5.7 - Cross-site scripting (XSS),A3-Cross-Site Scripting (XSS),System And Information Integrity,SI-15 Information Output Filtering (P0),A7-Cross-Site Scripting (XSS),,,spiracle-master/src/main/webapp/header.jsp,28,1,1,"""""pageName""""",spiracle-master/src/main/webapp/header.jsp,28,1,3,BinaryExpr,To Verify,High,,,https://checkmarx.dash4ast.com/CxWebClient/ViewerMain.aspx?scanid=1073997&projectid=1359&pathid=9,New
Reflected XSS All Clients,Java\Cx\Java High Risk\Reflected XSS All Clients Version:3,,PCI DSS (3.2.1) - 6.5.7 - Cross-site scripting (XSS),A3-Cross-Site Scripting (XSS),System And Information Integrity,SI-15 Information Output Filtering (P0),A7-Cross-Site Scripting (XSS),,,spiracle-master/src/main/java/com/waratek/spiracle/misc/AddHeaders.java,32,61,1,customHeaderValueParam,spiracle-master/src/main/java/com/waratek/spiracle/misc/AddHeaders.java,33,52,4,customHeaderValue,To Verify,High,,,https://checkmarx.dash4ast.com/CxWebClient/ViewerMain.aspx?scanid=1073997&projectid=1359&pathid=10,New
Reflected XSS All Clients,Java\Cx\Java High Risk\Reflected XSS All Clients Version:3,,PCI DSS (3.2.1) - 6.5.7 - Cross-site scripting (XSS),A3-Cross-Site Scripting (XSS),System And Information Integrity,SI-15 Information Output Filtering (P0),A7-Cross-Site Scripting (XSS),,,spiracle-master/src/main/java/com/waratek/spiracle/sql/servlet/misc/HttpRequestMethod.java,160,41,1,getDomain,spiracle-master/src/main/webapp/misc.jsp,59,437,4,getAttribute,To Verify,High,,,https://checkmarx.dash4ast.com/CxWebClient/ViewerMain.aspx?scanid=1073997&projectid=1359&pathid=11,New
Reflected XSS All Clients,Java\Cx\Java High Risk\Reflected XSS All Clients Version:3,,PCI DSS (3.2.1) - 6.5.7 - Cross-site scripting (XSS),A3-Cross-Site Scripting (XSS),System And Information Integrity,SI-15 Information Output Filtering (P0),A7-Cross-Site Scripting (XSS),,,spiracle-master/src/main/java/com/waratek/spiracle/sql/servlet/misc/HttpRequestMethod.java,160,41,1,getDomain,spiracle-master/src/main/webapp/misc.jsp,59,388,6,methodReturn,To Verify,High,,,https://checkmarx.dash4ast.com/CxWebClient/ViewerMain.aspx?scanid=1073997&projectid=1359&pathid=12,New
Reflected XSS All Clients,Java\Cx\Java High Risk\Reflected XSS All Clients Version:3,,PCI DSS (3.2.1) - 6.5.7 - Cross-site scripting (XSS),A3-Cross-Site Scripting (XSS),System And Information Integrity,SI-15 Information Output Filtering (P0),A7-Cross-Site Scripting (XSS),,,spiracle-master/src/main/java/com/waratek/spiracle/sql/servlet/misc/HttpRequestMethod.java,153,39,1,getName,spiracle-master/src/main/webapp/misc.jsp,59,437,4,getAttribute,To Verify,High,,,https://checkmarx.dash4ast.com/CxWebClient/ViewerMain.aspx?scanid=1073997&projectid=1359&pathid=13,New
Reflected XSS All Clients,Java\Cx\Java High Risk\Reflected XSS All Clients Version:3,,PCI DSS (3.2.1) - 6.5.7 - Cross-site scripting (XSS),A3-Cross-Site Scripting (XSS),System And Information Integrity,SI-15 Information Output Filtering (P0),A7-Cross-Site Scripting (XSS),,,spiracle-master/src/main/java/com/waratek/spiracle/sql/servlet/misc/HttpRequestMethod.java,153,39,1,getName,spiracle-master/src/main/webapp/misc.jsp,59,388,6,methodReturn,To Verify,High,,,https://checkmarx.dash4ast.com/CxWebClient/ViewerMain.aspx?scanid=1073997&projectid=1359&pathid=14,New
